"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Создание рецепта","0","0","","0"
"1","","0","Создание аккаунта","0","0","","0"
"1","","0","Авторизация","0","0","","0"
